"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Prestige Omega Select Plus Non-Stick Concave Tawa, 25cm,Black","ubngfaq5ej","B00AYA876A","New","unassigned","BOM7","13336.17","22","1","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige PKNSS Electric Kettle, Silver, 1.0 L","0N-8MYQ-7DUK","B08HQNH2LS","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","5","4","5","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) Without Offer","2Y-DFMJ-9X4J","B07XF4SWJ9","New","unassigned","BOM7","501871.25","27","0","0","out_of_stock","5","4","5","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Usha EB GS3 001 Cooktop Ebony 3001 (Black)","58-Y2TQ-5L09","B00934760G","New","unassigned","BOM7","22054.22","6","4","0","out_of_stock","5","4","5","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Micromax X421 Mobile Phone (Blue)","98-1M8D-W2ZY","B08J7FYYDQ","New","unassigned","BOM7","27864.56","35","0","0","out_of_stock","5","4","5","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","IC-XNIP-CENO","B01MFA2KUW","New","unassigned","BLR4","0.0","0","0","","out_of_stock","5","4","5","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","JC-9ASN-OTGU","B01MFA2KUW","New","unassigned","BLR4","33585.61","8","4","1","low_stock","5","4","5","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black","PKOSS 1.5","B01MQZ7J8K","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","5","4","5","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Realme Narzo 20 (Victory Blue, 4GB RAM, 64GB Storage)","3S-SEPQ-CZJ4","B08LHKMZD7","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","84.6"
"Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","5vnu44cqjk","B008P7IF02","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","90-FKLX-2TKA","B00EICJA0M","New","unassigned","PNQ2","0.0","0","0","0","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","9H-UYHA-JFCN","B07CR4GRR2","New","unassigned","BLR4","1454.24","4","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","9H-UYHA-JFCN","B07CR4GRR2","New","unassigned","BOM7","126293.35","248","1","1","low_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"TTK Prestige Omega Select Plus Square Induction Base Non-Stick Aluminium Kadai, 250mm, Black","DB-A040-J6FN","B07GQ4CDGW","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","E7-XSCC-J7Z8","B07XZFZWH6","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","64.3"
"Usha EI 2802 1000-Watt Ultra Lightweight Dry Iron (White)","F4-GTNN-MPT4","B014MBU9JO","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Usha EI 2802 1000-Watt Ultra Lightweight Dry Iron (White)","F4-GTNN-MPT4","B014MBU9JO","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","FK-K9WT-H8JT","B07XZFZWH6","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","64.3"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","FK-K9WT-H8JT","B07XZFZWH6","New","unassigned","BOM7","16976.28","5","0","0","out_of_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","64.3"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","GV-JU04-H6W3","B0835JYNY4","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","91.4"
"Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","HP-SMF1-V1R4","B010FVFK30","New","unassigned","BLR4","56466.14","30","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","79.6"
"Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","HP-SMF1-V1R4","B010FVFK30","New","unassigned","BOM7","100167.94","56","4","3","low_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","79.6"
"Prestige Svachh, 10752, 3 L, Nakshatra Duo Red Handi, with deep lid for Spillage Control","IP-XBXC-2KJ0","B085YG9V27","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","LC-EQQQ-GJ3V","B0835JYNY4","New","unassigned","BLR4","3388.98","1","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","91.4"
"Panasonic SR-WA18-E 4.4-Litre Automatic Rice Cooker (White)","M8-XSJW-VFH4","B01GE4XLOW","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"(Renewed) Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner (Red)","QA-PBUP-J9AX","B07CSCXJ1F","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Panasonic Single Line 2.4 KX-TG3411SX Digital Cordless Phone (Black)","QS-PMP0-XC2E","B008LNBK3E","New","unassigned","BOM7","137215.94","71","0","0","out_of_stock","4","4","4","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","RS-FIVB-DW0Z","B008P7IF02","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Sujata Powermatic Plus, Juicer Mixer Grinder with Chutney Jar, 900 Watts, 3 Jars (White)","TK-KH30-1OF6","B07Y9PY6Y1","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Black)","WN-8CTJ-TN3B","B071R3LHFM","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Black)","WN-8CTJ-TN3B","B071R3LHFM","New","unassigned","BLR4","2464.41","1","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Bajaj Shakti Plus Storage 10-Litre Vertical Water Heater (Ivory)","WR-1DSU-IOXQ","B009P2LDVO","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Black)","Y4-ZHDZ-L7YH","B071R3LHFM","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Black)","Y4-ZHDZ-L7YH","B071R3LHFM","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","YP-O2HX-0VGK","B010FVFK30","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","79.6"
"Panasonic Single Line KX-TS880MX Corded Phone (Black)","panasonic_KX_TS880MXBD","B00H4ZDLVE","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Panasonic Single Line KX-TS880MX Corded Phone (Black)","panasonic_KX_TS880MXBD","B00H4ZDLVE","New","unassigned","BLR4","0.0","0","0","","out_of_stock","4","4","4","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"(Renewed) NOKIA 105 SS (BLACK)","2S-AN4F-XC8P","B07DS6TPCF","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Realme Narzo 20 (Victory Blue, 4GB RAM, 64GB Storage)","3S-SEPQ-CZJ4","B08LHKMZD7","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","84.6"
"Usha EB GS3 001 Cooktop Ebony 3001 (Black)","58-Y2TQ-5L09","B00934760G","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Maharaja Whiteline Mark 1 Happiness 450-Watt Juicer Mixer Grinder (White and Red)","5w5li1xlm4","B00GYOJES0","New","unassigned","BOM7","24327.1","13","1","1","low_stock","3","4","3","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"(Renewed) Eureka Forbes Steel and Plastic Wet and Dry Bold 20 L 1400 Watts Multi Function Vacuum Cleaner (Blue, Standard)","81-HY05-NOD6","B08R8ZQRS1","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","90-FKLX-2TKA","B00EICJA0M","New","unassigned","BOM7","139474.28","72","4","2","low_stock","3","4","3","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","E7-XSCC-J7Z8","B07XZFZWH6","New","unassigned","BLR4","6721.18","2","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","64.3"
"Wonderchef Nutri-Blend Compact Food Processor 400W – Red","FK-K9WT-H8JT","B07XZFZWH6","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","64.3"
"Prestige Deluxe Plus Induction Base Aluminium Pressure Cooker, 10 Litres","FN-OQUR-N5VX","B00AYC5TC8","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Realme C11 (Rich Grey, 32 GB) (2 GB RAM)","G8-NV5Z-3H1O","B08DG2MN26","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","100.0"
"Usha Cook Joy (3820) 2000-Watt Induction Cooktop with Touch(Black)","GD-TGBU-0X18","B07QZ7Q6TQ","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans","HN-UM5H-DO68","B00935MD1C","New","unassigned","BLR4","1605.93","1","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","100.0"
"Maharaja Whiteline Powerclick + MX-204 750-Watt Mixer Grinder with 4 Jars (Black)","KR-DP2R-TVB6","B0734W9HK3","New","unassigned","BLR4","5725.42","2","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black)","LO-FWJH-JKMY","B084TCJ5GD","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"KENT Pearl 8-Litres Mineral RO + UV/UF + TDS Water Purifier,Blue and White","N4-UE5F-78VK","B0073QJ2F8","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","71.4"
"Prestige Omega Deluxe Omni Tawa 250","NU-DTDH-LNGS","B07GQ4D78F","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black","PKOSS 1.5","B01MQZ7J8K","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"(Renewed) Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner (Red)","QA-PBUP-J9AX","B07CSCXJ1F","New","unassigned","BLR4","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Morphy Richards Icon Superb 1000-Watt Food Processor (Glazing Copper and Black)","RF-WSYP-S4UA","B071GQM1S1","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","66.7"
"Morphy Richards Icon Superb 1000-Watt Food Processor (Glazing Copper and Black)","RF-WSYP-S4UA","B071GQM1S1","New","unassigned","BOM7","79470.36","11","0","0","out_of_stock","3","4","3","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","66.7"
"Panasonic SR-Y18FHS 660-Watt Automatic Electric Cooker 4.4 Litre with Non Stick Cooking Pan and Steamer, Metallic Silver/Burgundy","SR-Y18FHS(E)","B00A328CNM","New","unassigned","BLR4","6971.17","3","7","1","low_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","77.8"
"Bajaj Shakti Plus Storage 10-Litre Vertical Water Heater (Ivory)","SV-NIEJ-M7PX","B009P2LDVO","New","unassigned","BLR4","4194.07","1","0","","out_of_stock","3","4","3","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","83.3"
"Prestige PEC 3.0 250-Watt Electric Chopper (White)","04-IHMQ-0QI4","B07842187G","New","unassigned","PNQ2","0.0","0","0","13","low_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"(Renewed) NOKIA 105 SS (BLACK)","2S-AN4F-XC8P","B07DS6TPCF","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wahl Professional Moser 1400-0016 Hair Clipper (Red)","3N-A2NC-9JIF","B00BP6O3LU","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Realme Narzo 20 (Victory Blue, 4GB RAM, 64GB Storage)","3S-SEPQ-CZJ4","B08LHKMZD7","New","unassigned","BOM7","149383.9","15","0","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","84.6"
"Wonderchef - 63152405 Turbo Chopper and Citrus Juicer, Black","4H-0SN7-8R6S","B072VJ2KBS","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","100.0"
"Wonderchef - 63152405 Turbo Chopper and Citrus Juicer, Black","4H-0SN7-8R6S","B072VJ2KBS","New","unassigned","BLR4","987.29","1","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","100.0"
"Wonderchef - 63152405 Turbo Chopper and Citrus Juicer, Black","4H-0SN7-8R6S","B072VJ2KBS","New","unassigned","BOM7","3930.52","4","0","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","100.0"
"Bajaj Food Factory FX 11 600-Watt Food Processor (White)","51-VTL9-C956","B009P2L0N0","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Panasonic AC MX-AC555 Mixer Grinder, 550W, 5 Jars (Gold)","52-BHC9-GLSF","B07H3SRC4C","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","95.0"
"Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","5vnu44cqjk","B008P7IF02","New","unassigned","BLR4","3813.56","1","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","5vnu44cqjk","B008P7IF02","New","unassigned","BOM7","202976.28","52","1","1","low_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Maharaja Whiteline Mark 1 Happiness 450-Watt Juicer Mixer Grinder (White and Red)","5w5li1xlm4","B00GYOJES0","New","unassigned","BLR4","1947.46","1","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Electric Dosa Maker Double-Sided","60-PLRW-8I5Z","B07V6BYJDT","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","71.4"
"Wonderchef Electric Dosa Maker Double-Sided","60-PLRW-8I5Z","B07V6BYJDT","New","unassigned","BLR4","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","71.4"
"Samsung Galaxy S20 FE (Cloud Red, 8GB RAM, 128GB Storage) Without Offer","7J-OWNE-FOFL","B086KCCMDN","New","unassigned","BLR4","31610.17","1","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Samsung Galaxy S20 FE (Cloud Red, 8GB RAM, 128GB Storage) Without Offer","7J-OWNE-FOFL","B086KCCMDN","New","unassigned","BOM7","126580.51","4","0","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"(Renewed) Eureka Forbes Steel and Plastic Wet and Dry Bold 20 L 1400 Watts Multi Function Vacuum Cleaner (Blue, Standard)","81-HY05-NOD6","B08R8ZQRS1","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Deluxe Plus Mini Junior Induction Base Aluminium Pressure Handi, 3.3 Litres, Flame Red","8E-9IUQ-76FX","B00EICFCOK","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","100.0"
"Prestige Deluxe Plus Mini Junior Induction Base Aluminium Pressure Handi, 3.3 Litres, Flame Red","8E-9IUQ-76FX","B00EICFCOK","New","unassigned","BLR4","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","100.0"
"Nokia 105 (Black)","A9-6UMX-BRQF","B0745BNFYV","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Nokia 105 (Black)","A9-6UMX-BRQF","B0745BNFYV","New","unassigned","BLR4","3081.36","3","3","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Platina Induction Base Non-Stick Stainless Steel Fry Pan, 240mm, Silver","AD-MWWO-QCAB","B07BGD7DDM","New","unassigned","BLR4","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","94.7"
"Prestige Platina Induction Base Non-Stick Stainless Steel Fry Pan, 240mm, Silver","AD-MWWO-QCAB","B07BGD7DDM","New","unassigned","BOM7","1696.42","2","0","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","94.7"
"Panasonic MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (Black)","C6-RQP0-5MC8","B007PZKLUM","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","88.2"
"Panasonic MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (Black)","C6-RQP0-5MC8","B007PZKLUM","New","unassigned","BOM7","64777.12","19","11","6","","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","88.2"
"Realme 6 (Comet Blue, 4GB RAM, 64GB Storage)","CQ-3U2Z-UESH","B085W5VN26","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Realme 6 (Comet Blue, 4GB RAM, 64GB Storage)","CQ-3U2Z-UESH","B085W5VN26","New","unassigned","BLR4","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige PCJ 7.0 500-Watt Centrifugal Juicer","D0-NY73-KXPD","B00NW4VEHY","New","unassigned","PNQ2","0.0","0","0","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige PCJ 7.0 500-Watt Centrifugal Juicer","D0-NY73-KXPD","B00NW4VEHY","New","unassigned","BOM7","91957.66","33","4","1","low_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"TTK Prestige Omega Select Plus Square Induction Base Non-Stick Aluminium Kadai, 250mm, Black","DB-A040-J6FN","B07GQ4CDGW","New","unassigned","BOM7","13866.52","11","0","0","out_of_stock","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige Edge Gas Table PEBS 02 - Black","FO-WGHK-PE1D","B07JRCV3W1","New","unassigned","BLR4","16271.19","3","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
